Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-08-03 00:00:00-04:00,1581.25,1850.0,1562.5,1837.5,35364,0.0,0.0
2020-08-04 00:00:00-04:00,1987.5,2175.0,1425.0,1750.0,52603,0.0,0.0
2020-08-05 00:00:00-04:00,1743.75,1743.75,1593.75,1643.75,17631,0.0,0.0
2020-08-06 00:00:00-04:00,1681.25,1687.5,1456.25,1518.75,25874,0.0,0.0
2020-08-07 00:00:00-04:00,1718.75,1718.75,1075.0,1487.5,71760,0.0,0.0
2020-08-10 00:00:00-04:00,2231.25,2300.0,1787.5,1956.25,173788,0.0,0.0
2020-08-11 00:00:00-04:00,1806.25,1825.0,1656.25,1712.5,40760,0.0,0.0
2020-08-12 00:00:00-04:00,1431.25,1450.0,1393.75,1431.25,36640,0.0,0.0
2020-08-13 00:00:00-04:00,1456.25,1562.5,1443.75,1481.25,18804,0.0,0.0
2020-08-14 00:00:00-04:00,1487.5,1531.25,1443.75,1456.25,14704,0.0,0.0
2020-08-17 00:00:00-04:00,1475.0,1487.5,1356.25,1418.75,13049,0.0,0.0
2020-08-18 00:00:00-04:00,1387.5,1387.5,1237.5,1306.25,21701,0.0,0.0
2020-08-19 00:00:00-04:00,1250.0,1306.25,1187.5,1231.25,16287,0.0,0.0
2020-08-20 00:00:00-04:00,1275.0,1312.5,1212.5,1243.75,16497,0.0,0.0
2020-08-21 00:00:00-04:00,1218.75,1225.0,950.0,981.25,35911,0.0,0.0
2020-08-24 00:00:00-04:00,1106.25,1112.5,943.75,987.5,22160,0.0,0.0
2020-08-25 00:00:00-04:00,919.375,1025.0,906.25,987.5,15144,0.0,0.0
2020-08-26 00:00:00-04:00,1006.25,1025.0,950.0,956.25,6396,0.0,0.0
2020-08-27 00:00:00-04:00,937.5,1009.375,918.75,981.25,11978,0.0,0.0
2020-08-28 00:00:00-04:00,1131.25,1231.25,1043.75,1118.75,67680,0.0,0.0
2020-08-31 00:00:00-04:00,1137.5,1193.75,1075.0,1106.25,11832,0.0,0.0
2020-09-01 00:00:00-04:00,1084.375,1137.5,1037.5,1118.75,8517,0.0,0.0
2020-09-02 00:00:00-04:00,1125.0,1125.0,1050.0,1068.75,8225,0.0,0.0
2020-09-03 00:00:00-04:00,1060.625,1081.25,1018.75,1043.75,6723,0.0,0.0
2020-09-04 00:00:00-04:00,1037.5,1056.25,968.75,1056.25,8922,0.0,0.0
2020-09-08 00:00:00-04:00,1043.75,1056.25,1000.0,1031.25,4039,0.0,0.0
2020-09-09 00:00:00-04:00,1025.0,1087.5,1025.0,1087.5,3973,0.0,0.0
2020-09-10 00:00:00-04:00,1087.5,1156.25,1087.5,1100.0,6140,0.0,0.0
2020-09-11 00:00:00-04:00,1118.75,1137.5,1093.75,1112.5,4122,0.0,0.0
2020-09-14 00:00:00-04:00,1162.5,1406.25,1143.75,1300.0,29898,0.0,0.0
2020-09-15 00:00:00-04:00,1356.25,1362.5,1243.75,1328.125,10041,0.0,0.0
2020-09-16 00:00:00-04:00,1312.5,1450.0,1312.5,1387.5,18241,0.0,0.0
2020-09-17 00:00:00-04:00,1381.25,1468.75,1362.5,1387.5,13994,0.0,0.0
2020-09-18 00:00:00-04:00,1387.5,1668.75,1387.5,1625.0,26734,0.0,0.0
2020-09-21 00:00:00-04:00,1581.25,1743.75,1562.5,1681.25,16556,0.0,0.0
2020-09-22 00:00:00-04:00,1725.0,1793.75,1600.0,1787.5,13561,0.0,0.0
2020-09-23 00:00:00-04:00,1837.5,1968.75,1762.5,1837.5,27785,0.0,0.0
2020-09-24 00:00:00-04:00,1750.0,1812.5,1662.5,1700.0,16319,0.0,0.0
2020-09-25 00:00:00-04:00,1687.5,1853.125,1662.5,1768.75,10641,0.0,0.0
2020-09-28 00:00:00-04:00,1831.25,1843.75,1718.75,1762.5,11443,0.0,0.0
2020-09-29 00:00:00-04:00,1750.0,1887.5,1731.25,1862.5,13768,0.0,0.0
2020-09-30 00:00:00-04:00,1850.0,1893.75,1793.75,1868.75,8165,0.0,0.0
2020-10-01 00:00:00-04:00,1843.75,1893.75,1792.5,1850.0,6661,0.0,0.0
2020-10-02 00:00:00-04:00,1743.75,1843.75,1718.75,1812.5,8511,0.0,0.0
2020-10-05 00:00:00-04:00,1831.25,1937.5,1812.5,1925.0,10877,0.0,0.0
2020-10-06 00:00:00-04:00,1925.0,2065.625,1900.0,1962.5,16880,0.0,0.0
2020-10-07 00:00:00-04:00,1981.25,2125.0,1962.5,1993.75,14263,0.0,0.0
2020-10-08 00:00:00-04:00,2018.75,2062.5,2006.25,2037.5,6422,0.0,0.0
2020-10-09 00:00:00-04:00,2043.75,2054.375,1943.75,1968.75,9246,0.0,0.0
2020-10-12 00:00:00-04:00,1956.25,1975.0,1850.0,1906.25,11209,0.0,0.0
2020-10-13 00:00:00-04:00,1887.5,1946.875,1862.5,1893.75,7208,0.0,0.0
2020-10-14 00:00:00-04:00,1900.0,1915.625,1768.75,1781.25,10812,0.0,0.0
2020-10-15 00:00:00-04:00,1756.25,1875.0,1712.5,1831.25,8731,0.0,0.0
2020-10-16 00:00:00-04:00,1831.25,1906.25,1825.0,1837.5,5182,0.0,0.0
2020-10-19 00:00:00-04:00,1812.5,1868.75,1806.25,1825.0,4504,0.0,0.0
2020-10-20 00:00:00-04:00,1825.0,1831.25,1718.75,1737.5,6932,0.0,0.0
2020-10-21 00:00:00-04:00,1718.75,1737.5,1612.5,1618.75,9204,0.0,0.0
2020-10-22 00:00:00-04:00,1597.5,1671.875,1568.75,1656.25,4919,0.0,0.0
2020-10-23 00:00:00-04:00,1675.0,1681.25,1612.5,1662.5,3321,0.0,0.0
2020-10-26 00:00:00-04:00,1656.25,1700.0,1568.75,1625.0,4362,0.0,0.0
2020-10-27 00:00:00-04:00,1625.0,1634.375,1568.75,1587.5,3107,0.0,0.0
2020-10-28 00:00:00-04:00,1548.75,1568.75,1456.25,1487.5,6543,0.0,0.0
2020-10-29 00:00:00-04:00,1487.5,1662.5,1468.75,1600.0,7950,0.0,0.0
2020-10-30 00:00:00-04:00,1712.5,1768.75,1506.25,1637.5,18318,0.0,0.0
2020-11-02 00:00:00-05:00,1625.0,1681.25,1512.5,1681.25,9994,0.0,0.0
2020-11-03 00:00:00-05:00,1643.75,1662.5,1512.5,1531.25,13959,0.0,0.0
2020-11-04 00:00:00-05:00,1525.0,1611.875,1493.75,1500.0,7011,0.0,0.0
2020-11-05 00:00:00-05:00,1531.25,1531.25,1425.0,1481.25,10647,0.0,0.0
2020-11-06 00:00:00-05:00,1468.75,1543.75,1443.75,1493.75,5349,0.0,0.0
2020-11-09 00:00:00-05:00,1516.875,1562.5,1443.75,1512.5,6901,0.0,0.0
2020-11-10 00:00:00-05:00,1500.0,1606.25,1481.25,1593.75,6251,0.0,0.0
2020-11-11 00:00:00-05:00,1575.0,1725.0,1575.0,1693.75,7233,0.0,0.0
2020-11-12 00:00:00-05:00,1703.75,1743.75,1637.5,1687.5,4821,0.0,0.0
2020-11-13 00:00:00-05:00,1662.5,1700.0,1631.25,1687.5,4525,0.0,0.0
2020-11-16 00:00:00-05:00,1643.75,1687.5,1587.5,1618.75,6176,0.0,0.0
2020-11-17 00:00:00-05:00,1600.0,1618.75,1543.75,1581.25,5369,0.0,0.0
2020-11-18 00:00:00-05:00,1550.0,1575.0,1531.25,1568.75,5403,0.0,0.0
2020-11-19 00:00:00-05:00,1556.25,1587.5,1518.75,1531.25,4609,0.0,0.0
2020-11-20 00:00:00-05:00,1550.0,1575.0,1518.75,1556.25,4666,0.0,0.0
2020-11-23 00:00:00-05:00,1550.0,1578.125,1500.0,1500.0,6962,0.0,0.0
2020-11-24 00:00:00-05:00,1487.5,1500.0,1412.5,1481.25,7544,0.0,0.0
2020-11-25 00:00:00-05:00,1481.25,1487.5,1425.0,1462.5,3973,0.0,0.0
2020-11-27 00:00:00-05:00,1456.25,1612.5,1452.5,1606.25,5399,0.0,0.0
2020-11-30 00:00:00-05:00,1593.75,1643.75,1543.75,1568.75,5212,0.0,0.0
2020-12-01 00:00:00-05:00,1531.25,1556.25,1481.25,1481.25,5628,0.0,0.0
2020-12-02 00:00:00-05:00,1487.5,1500.0,1437.5,1500.0,3836,0.0,0.0
2020-12-03 00:00:00-05:00,1481.25,1506.25,1456.25,1481.25,3208,0.0,0.0
2020-12-04 00:00:00-05:00,1468.75,1504.375,1437.5,1475.0,4023,0.0,0.0
2020-12-07 00:00:00-05:00,1450.0,1466.25,1406.25,1418.75,5231,0.0,0.0
2020-12-08 00:00:00-05:00,1393.75,1468.75,1343.75,1468.75,6807,0.0,0.0
2020-12-09 00:00:00-05:00,1450.0,1481.25,1356.25,1393.75,6012,0.0,0.0
2020-12-10 00:00:00-05:00,1406.875,1431.25,1371.875,1406.25,3862,0.0,0.0
2020-12-11 00:00:00-05:00,1400.0,1512.5,1395.625,1425.0,5700,0.0,0.0
2020-12-14 00:00:00-05:00,1431.25,1442.5,1356.25,1368.75,4096,0.0,0.0
2020-12-15 00:00:00-05:00,1375.0,1391.25,1343.75,1356.25,3977,0.0,0.0
2020-12-16 00:00:00-05:00,1350.0,1368.75,1287.5,1350.0,5253,0.0,0.0
2020-12-17 00:00:00-05:00,1375.0,1431.25,1356.25,1406.25,4753,0.0,0.0
2020-12-18 00:00:00-05:00,1393.75,1437.5,1387.5,1418.75,4891,0.0,0.0
2020-12-21 00:00:00-05:00,1412.5,1443.75,1387.5,1443.75,3798,0.0,0.0
2020-12-22 00:00:00-05:00,1437.5,1493.75,1431.25,1475.0,6374,0.0,0.0
2020-12-23 00:00:00-05:00,1493.75,1575.0,1490.625,1537.5,11285,0.0,0.0
2020-12-24 00:00:00-05:00,1543.75,1559.375,1425.0,1431.25,4704,0.0,0.0
2020-12-28 00:00:00-05:00,1431.25,1456.25,1375.0,1375.0,5670,0.0,0.0
2020-12-29 00:00:00-05:00,1375.0,1387.5,1312.5,1331.25,5955,0.0,0.0
2020-12-30 00:00:00-05:00,1331.25,1375.0,1306.25,1337.5,3307,0.0,0.0
2020-12-31 00:00:00-05:00,1343.75,1359.375,1300.0,1337.5,5672,0.0,0.0
2021-01-04 00:00:00-05:00,1325.0,1343.75,1287.5,1318.75,5991,0.0,0.0
2021-01-05 00:00:00-05:00,1306.25,1362.5,1290.625,1350.0,3633,0.0,0.0
2021-01-06 00:00:00-05:00,1358.125,1443.75,1356.25,1387.5,6309,0.0,0.0
2021-01-07 00:00:00-05:00,1400.0,1512.5,1400.0,1512.5,6946,0.0,0.0
2021-01-08 00:00:00-05:00,1512.5,1543.75,1487.5,1500.0,4890,0.0,0.0
2021-01-11 00:00:00-05:00,1456.25,1462.5,1350.0,1362.5,8256,0.0,0.0
2021-01-12 00:00:00-05:00,1381.25,1400.0,1343.75,1381.25,4631,0.0,0.0
2021-01-13 00:00:00-05:00,1387.5,1400.0,1350.0,1387.5,4019,0.0,0.0
2021-01-14 00:00:00-05:00,1387.5,1400.0,1350.0,1362.5,3822,0.0,0.0
2021-01-15 00:00:00-05:00,1368.75,1400.0,1318.75,1325.0,5858,0.0,0.0
2021-01-19 00:00:00-05:00,1368.75,1406.25,1337.5,1362.5,5015,0.0,0.0
2021-01-20 00:00:00-05:00,1368.75,1375.0,1325.0,1343.75,3564,0.0,0.0
2021-01-21 00:00:00-05:00,1362.5,1362.5,1325.0,1350.0,2560,0.0,0.0
2021-01-22 00:00:00-05:00,1343.75,1387.5,1325.0,1381.25,4371,0.0,0.0
2021-01-25 00:00:00-05:00,1406.25,1468.75,1387.5,1462.5,6597,0.0,0.0
2021-01-26 00:00:00-05:00,1468.75,1487.5,1406.25,1443.75,5719,0.0,0.0
2021-01-27 00:00:00-05:00,1393.75,1500.0,1368.75,1375.0,5577,0.0,0.0
2021-01-28 00:00:00-05:00,1387.5,1468.75,1350.0,1368.75,5112,0.0,0.0
2021-01-29 00:00:00-05:00,1375.0,1418.75,1350.0,1362.5,4613,0.0,0.0
2021-02-01 00:00:00-05:00,1358.125,1512.5,1343.75,1500.0,14438,0.0,0.0
2021-02-02 00:00:00-05:00,1500.0,1512.5,1425.0,1431.25,5766,0.0,0.0
2021-02-03 00:00:00-05:00,1437.5,1493.75,1428.125,1481.25,3339,0.0,0.0
2021-02-04 00:00:00-05:00,1487.5,1637.5,1481.25,1631.25,9400,0.0,0.0
2021-02-05 00:00:00-05:00,1675.0,1681.25,1568.75,1637.5,6980,0.0,0.0
2021-02-08 00:00:00-05:00,1662.5,1825.0,1656.25,1806.25,10111,0.0,0.0
2021-02-09 00:00:00-05:00,1825.0,1931.25,1756.25,1831.25,9182,0.0,0.0
2021-02-10 00:00:00-05:00,1875.0,1937.5,1693.75,1781.25,8813,0.0,0.0
2021-02-11 00:00:00-05:00,1793.75,1800.0,1693.75,1712.5,6075,0.0,0.0
2021-02-12 00:00:00-05:00,1656.25,1656.25,1575.0,1606.25,7498,0.0,0.0
2021-02-16 00:00:00-05:00,1562.5,1581.25,1506.25,1550.0,7257,0.0,0.0
2021-02-17 00:00:00-05:00,1531.25,1568.75,1462.5,1518.75,3832,0.0,0.0
